id,problem,topic,difficulty,company,status,tags,url,description,notes,bookmark,solution_approach,time_complexity,space_complexity,pattern,interview_frequency,attempts,last_attempted,confidence_level
1,Find the maximum subarray sum (Array),Array,Easy,"Amazon, Microsoft, Google",unsolved,,https://leetcode.com/problems/maximum-subarray/,"Given an integer array, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. Use Kadane's algorithm or divide-and-conquer approach. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Kadane's Algorithm,O(n),O(1),Kadane's / Sliding Window,High,0,,
2,Find the maximum subarray sum (Array),Array,Medium,"Amazon, Microsoft, Google",unsolved,,https://leetcode.com/problems/maximum-subarray/,"Given an integer array, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. Use Kadane's algorithm or divide-and-conquer approach. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Kadane's Algorithm,O(n),O(1),Kadane's / Sliding Window,High,0,,
3,Find the maximum subarray sum (Array),Array,Hard,"Amazon, Microsoft, Google",unsolved,,https://leetcode.com/problems/maximum-subarray/,"Given an integer array, find the contiguous subarray (containing at least one number) which has the largest sum and return its sum. Use Kadane's algorithm or divide-and-conquer approach. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Kadane's Algorithm,O(n),O(1),Kadane's / Sliding Window,High,0,,
4,Reverse elements in an array (Array),Array,Easy,"Google, Facebook, Apple",unsolved,,https://leetcode.com/problems/reverse-string/,"Given a sequence of elements, reverse them in-place or return a new reversed sequence. Consider edge cases like empty input and single elements. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Two Pointers,O(n),O(1),Two Pointers,Medium,0,,
5,Reverse elements in an array (Array),Array,Medium,"Google, Facebook, Apple",unsolved,,https://leetcode.com/problems/reverse-string/,"Given a sequence of elements, reverse them in-place or return a new reversed sequence. Consider edge cases like empty input and single elements. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Two Pointers,O(n),O(1),Two Pointers,Medium,0,,
6,Reverse elements in an array (Array),Array,Hard,"Google, Facebook, Apple",unsolved,,https://leetcode.com/problems/reverse-string/,"Given a sequence of elements, reverse them in-place or return a new reversed sequence. Consider edge cases like empty input and single elements. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Two Pointers,O(n),O(1),Two Pointers,Medium,0,,
7,Detect cycle in a graph (Array),Array,Easy,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/course-schedule/,"Given a directed or undirected graph, determine whether it contains a cycle. Use DFS with visited/recursion-stack tracking or Union-Find (Disjoint Set Union). This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,DFS / Union-Find,O(V+E),O(V),Graph Traversal,High,0,,
8,Detect cycle in a graph (Array),Array,Medium,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/course-schedule/,"Given a directed or undirected graph, determine whether it contains a cycle. Use DFS with visited/recursion-stack tracking or Union-Find (Disjoint Set Union). This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,DFS / Union-Find,O(V+E),O(V),Graph Traversal,High,0,,
9,Detect cycle in a graph (Array),Array,Hard,"Amazon, Google, Microsoft",unsolved,,https://leetcode.com/problems/course-schedule/,"Given a directed or undirected graph, determine whether it contains a cycle. Use DFS with visited/recursion-stack tracking or Union-Find (Disjoint Set Union). This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,DFS / Union-Find,O(V+E),O(V),Graph Traversal,High,0,,
10,Find longest substring without repeating characters (Array),Array,Easy,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/longest-substring-without-repeating-characters/,"Given a string, find the length of the longest substring that contains no repeating characters. Use a sliding window approach with a hash set. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Sliding Window,O(n),"O(min(n,charset))",Sliding Window,High,0,,
11,Find longest substring without repeating characters (Array),Array,Medium,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/longest-substring-without-repeating-characters/,"Given a string, find the length of the longest substring that contains no repeating characters. Use a sliding window approach with a hash set. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Sliding Window,O(n),"O(min(n,charset))",Sliding Window,High,0,,
12,Find longest substring without repeating characters (Array),Array,Hard,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/longest-substring-without-repeating-characters/,"Given a string, find the length of the longest substring that contains no repeating characters. Use a sliding window approach with a hash set. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Sliding Window,O(n),"O(min(n,charset))",Sliding Window,High,0,,
13,Implement a stack using queues (Array),Array,Easy,"Microsoft, Bloomberg",unsolved,,https://leetcode.com/problems/implement-stack-using-queues/,"Implement a last-in-first-out (LIFO) stack using only two queues. Support push, pop, top, and empty operations efficiently. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Queue Simulation,O(1) amortized,O(n),Stack / Queue,Medium,0,,
14,Implement a stack using queues (Array),Array,Medium,"Microsoft, Bloomberg",unsolved,,https://leetcode.com/problems/implement-stack-using-queues/,"Implement a last-in-first-out (LIFO) stack using only two queues. Support push, pop, top, and empty operations efficiently. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Queue Simulation,O(1) amortized,O(n),Stack / Queue,Medium,0,,
15,Implement a stack using queues (Array),Array,Hard,"Microsoft, Bloomberg",unsolved,,https://leetcode.com/problems/implement-stack-using-queues/,"Implement a last-in-first-out (LIFO) stack using only two queues. Support push, pop, top, and empty operations efficiently. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Queue Simulation,O(1) amortized,O(n),Stack / Queue,Medium,0,,
16,Find shortest path between nodes (Array),Array,Easy,"Google, Uber, Lyft",unsolved,,https://leetcode.com/problems/network-delay-time/,"Given a weighted graph, find the shortest path between a source and destination node. Apply Dijkstra's algorithm or BFS for unweighted graphs. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Dijkstra / BFS,O((V+E) log V),O(V+E),Shortest Path,High,0,,
17,Find shortest path between nodes (Array),Array,Medium,"Google, Uber, Lyft",unsolved,,https://leetcode.com/problems/network-delay-time/,"Given a weighted graph, find the shortest path between a source and destination node. Apply Dijkstra's algorithm or BFS for unweighted graphs. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Dijkstra / BFS,O((V+E) log V),O(V+E),Shortest Path,High,0,,
18,Find shortest path between nodes (Array),Array,Hard,"Google, Uber, Lyft",unsolved,,https://leetcode.com/problems/network-delay-time/,"Given a weighted graph, find the shortest path between a source and destination node. Apply Dijkstra's algorithm or BFS for unweighted graphs. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Dijkstra / BFS,O((V+E) log V),O(V+E),Shortest Path,High,0,,
19,Check if a binary tree is balanced (Array),Array,Easy,"Amazon, Apple, Adobe",unsolved,,https://leetcode.com/problems/balanced-binary-tree/,"Given a binary tree, determine if it is height-balanced, meaning the depth of the two subtrees of every node never differs by more than one. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,DFS (Post-order),O(n),O(h),Tree DFS,Medium,0,,
20,Check if a binary tree is balanced (Array),Array,Medium,"Amazon, Apple, Adobe",unsolved,,https://leetcode.com/problems/balanced-binary-tree/,"Given a binary tree, determine if it is height-balanced, meaning the depth of the two subtrees of every node never differs by more than one. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,DFS (Post-order),O(n),O(h),Tree DFS,Medium,0,,
21,Check if a binary tree is balanced (Array),Array,Hard,"Amazon, Apple, Adobe",unsolved,,https://leetcode.com/problems/balanced-binary-tree/,"Given a binary tree, determine if it is height-balanced, meaning the depth of the two subtrees of every node never differs by more than one. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,DFS (Post-order),O(n),O(h),Tree DFS,Medium,0,,
22,Find duplicate elements (Array),Array,Easy,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/find-the-duplicate-number/,"Given an array containing n+1 integers where each integer is between 1 and n, find the duplicate number without modifying the array and using only constant extra space. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Floyd's Cycle Detection,O(n),O(1),Fast & Slow Pointers,High,0,,
23,Find duplicate elements (Array),Array,Medium,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/find-the-duplicate-number/,"Given an array containing n+1 integers where each integer is between 1 and n, find the duplicate number without modifying the array and using only constant extra space. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Floyd's Cycle Detection,O(n),O(1),Fast & Slow Pointers,High,0,,
24,Find duplicate elements (Array),Array,Hard,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/find-the-duplicate-number/,"Given an array containing n+1 integers where each integer is between 1 and n, find the duplicate number without modifying the array and using only constant extra space. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Floyd's Cycle Detection,O(n),O(1),Fast & Slow Pointers,High,0,,
25,Merge two sorted arrays (Array),Array,Easy,"Google, Microsoft, Apple",unsolved,,https://leetcode.com/problems/merge-sorted-array/,"Given two sorted arrays, merge them into a single sorted array. Optimize for in-place merging when possible using a two-pointer technique. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.",,false,Two Pointers,O(m+n),O(1),Two Pointers,High,0,,
26,Merge two sorted arrays (Array),Array,Medium,"Google, Microsoft, Apple",unsolved,,https://leetcode.com/problems/merge-sorted-array/,"Given two sorted arrays, merge them into a single sorted array. Optimize for in-place merging when possible using a two-pointer technique. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.",,false,Two Pointers,O(m+n),O(1),Two Pointers,High,0,,
27,Merge two sorted arrays (Array),Array,Hard,"Google, Microsoft, Apple",unsolved,,https://leetcode.com/problems/merge-sorted-array/,"Given two sorted arrays, merge them into a single sorted array. Optimize for in-place merging when possible using a two-pointer technique. This variant emphasizes the Array data structure/approach. This is an advanced-level problem requiring deep algorithmic knowledge. Aim for optimal time and space complexity.",,false,Two Pointers,O(m+n),O(1),Two Pointers,High,0,,
28,Implement LRU cache (Array),Array,Easy,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/lru-cache/,Design a data structure for a Least Recently Used (LRU) cache that supports get and put operations in O(1) time. Use a combination of a hashmap and doubly linked list. This variant emphasizes the Array data structure/approach. This is an introductory-level problem suitable for beginners. Focus on the brute-force or straightforward approach first.,,false,HashMap + Doubly Linked List,O(1),O(capacity),Design,High,0,,
29,Implement LRU cache (Array),Array,Medium,"Amazon, Google, Facebook",unsolved,,https://leetcode.com/problems/lru-cache/,Design a data structure for a Least Recently Used (LRU) cache that supports get and put operations in O(1) time. Use a combination of a hashmap and doubly linked list. This variant emphasizes the Array data structure/approach. This is an intermediate-level problem. Optimized solutions using efficient data structures or algorithms are expected.,,false,HashMap + Doubly Linked List,O(1),O(capacity),Design,High,0,,
